count,state,sex,work_status,exercise
2,Alabama,both,total,19
54,Alabama,male,all,24
106,Alabama,female,all,14
158,Alabama,male,working,25
210,Alabama,female,working,15
262,Alabama,male,non_working,23
314,Alabama,female,non_working,13
3,Alaska,both,total,27
55,Alaska,male,all,33
107,Alaska,female,all,23
159,Alaska,male,working,31
211,Alaska,female,working,24
263,Alaska,male,non_working,33
315,Alaska,female,non_working,17
4,Arizona,both,total,26
56,Arizona,male,all,29
108,Arizona,female,all,23
160,Arizona,male,working,31
212,Arizona,female,working,26
264,Arizona,male,non_working,22
316,Arizona,female,non_working,16
5,Arkansas,both,total,15
57,Arkansas,male,all,19
109,Arkansas,female,all,11
161,Arkansas,male,working,21
213,Arkansas,female,working,13
265,Arkansas,male,non_working,14
317,Arkansas,female,non_working,9
6,California,both,total,24
58,California,male,all,28
110,California,female,all,19
162,California,male,working,29
214,California,female,working,21
266,California,male,non_working,24
318,California,female,non_working,15
7,Colorado,both,total,32
59,Colorado,male,all,33
111,Colorado,female,all,31
163,Colorado,male,working,34
215,Colorado,female,working,33
267,Colorado,male,non_working,26
319,Colorado,female,non_working,27
8,Connecticut,both,total,24
60,Connecticut,male,all,28
112,Connecticut,female,all,21
164,Connecticut,male,working,29
216,Connecticut,female,working,24
268,Connecticut,male,non_working,22
320,Connecticut,female,non_working,13
9,Delaware,both,total,20
61,Delaware,male,all,24
113,Delaware,female,all,15
165,Delaware,male,working,23
217,Delaware,female,working,17
269,Delaware,male,non_working,25
321,Delaware,female,non_working,11
10,District of Columbia,both,total,30
62,District of Columbia,male,all,40
114,District of Columbia,female,all,22
166,District of Columbia,male,working,40
218,District of Columbia,female,working,24
270,District of Columbia,male,non_working,43
322,District of Columbia,female,non_working,18
11,Florida,both,total,21
63,Florida,male,all,27
115,Florida,female,all,15
167,Florida,male,working,27
219,Florida,female,working,17
271,Florida,male,non_working,25
323,Florida,female,non_working,12
12,Georgia,both,total,20
64,Georgia,male,all,27
116,Georgia,female,all,14
168,Georgia,male,working,29
220,Georgia,female,working,15
272,Georgia,male,non_working,21
324,Georgia,female,non_working,12
13,Hawaii,both,total,24
65,Hawaii,male,all,31
117,Hawaii,female,all,18
169,Hawaii,male,working,32
221,Hawaii,female,working,19
273,Hawaii,male,non_working,25
325,Hawaii,female,non_working,14
14,Idaho,both,total,31
66,Idaho,male,all,35
118,Idaho,female,all,27
170,Idaho,male,working,36
222,Idaho,female,working,27
274,Idaho,male,non_working,34
326,Idaho,female,non_working,28
15,Illinois,both,total,24
67,Illinois,male,all,28
119,Illinois,female,all,20
171,Illinois,male,working,29
223,Illinois,female,working,24
275,Illinois,male,non_working,21
327,Illinois,female,non_working,15
16,Indiana,both,total,15
68,Indiana,male,all,20
120,Indiana,female,all,10
172,Indiana,male,working,21
224,Indiana,female,working,12
276,Indiana,male,non_working,11
328,Indiana,female,non_working,5
17,Iowa,both,total,22
69,Iowa,male,all,24
121,Iowa,female,all,19
173,Iowa,male,working,23
225,Iowa,female,working,20
277,Iowa,male,non_working,23
329,Iowa,female,non_working,16
18,Kansas,both,total,23
70,Kansas,male,all,24
122,Kansas,female,all,21
174,Kansas,male,working,26
226,Kansas,female,working,23
278,Kansas,male,non_working,16
330,Kansas,female,non_working,16
19,Kentucky,both,total,14
71,Kentucky,male,all,17
123,Kentucky,female,all,11
175,Kentucky,male,working,21
227,Kentucky,female,working,14
279,Kentucky,male,non_working,9
331,Kentucky,female,non_working,5
20,Louisiana,both,total,20
72,Louisiana,male,all,23
124,Louisiana,female,all,17
176,Louisiana,male,working,25
228,Louisiana,female,working,20
280,Louisiana,male,non_working,15
332,Louisiana,female,non_working,14
21,Maine,both,total,24
73,Maine,male,all,27
125,Maine,female,all,20
177,Maine,male,working,32
229,Maine,female,working,23
281,Maine,male,non_working,NA
333,Maine,female,non_working,11
22,Maryland,both,total,22
74,Maryland,male,all,29
126,Maryland,female,all,16
178,Maryland,male,working,29
230,Maryland,female,working,18
282,Maryland,male,non_working,26
334,Maryland,female,non_working,11
23,Massachusetts,both,total,29
75,Massachusetts,male,all,32
127,Massachusetts,female,all,26
179,Massachusetts,male,working,34
231,Massachusetts,female,working,28
283,Massachusetts,male,non_working,25
335,Massachusetts,female,non_working,18
24,Michigan,both,total,23
76,Michigan,male,all,28
128,Michigan,female,all,18
180,Michigan,male,working,30
232,Michigan,female,working,21
284,Michigan,male,non_working,21
336,Michigan,female,non_working,13
25,Minnesota,both,total,27
77,Minnesota,male,all,31
129,Minnesota,female,all,24
181,Minnesota,male,working,30
233,Minnesota,female,working,26
285,Minnesota,male,non_working,32
337,Minnesota,female,non_working,15
26,Mississippi,both,total,13
78,Mississippi,male,all,17
130,Mississippi,female,all,9
182,Mississippi,male,working,19
234,Mississippi,female,working,10
286,Mississippi,male,non_working,13
338,Mississippi,female,non_working,8
27,Missouri,both,total,23
79,Missouri,male,all,29
131,Missouri,female,all,17
183,Missouri,male,working,31
235,Missouri,female,working,18
287,Missouri,male,non_working,20
339,Missouri,female,non_working,17
28,Montana,both,total,20
80,Montana,male,all,20
132,Montana,female,all,20
184,Montana,male,working,24
236,Montana,female,working,25
288,Montana,male,non_working,10
340,Montana,female,non_working,NA
29,Nebraska,both,total,23
81,Nebraska,male,all,26
133,Nebraska,female,all,21
185,Nebraska,male,working,25
237,Nebraska,female,working,22
289,Nebraska,male,non_working,33
341,Nebraska,female,non_working,18
30,Nevada,both,total,23
82,Nevada,male,all,25
